Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename
Full-Duplex Wireless for 6G: Progress Brings New Opportunities and Challenges,"B. Smida, A. Sabharwal, Gábor Fodor, G. C. Alexandropoulos, H. Suraweera, C. Chae",10.1109/JSAC.2023.3287612,https://doi.org/10.1109/JSAC.2023.3287612,IEEE Journal on Selected Areas in Communications,106,2023,-
Secure Transmission for Active RIS-Assisted THz ISAC Systems With Delay Alignment Modulation,"Gangcan Sun, Hao Shi, Beilei Shang, Wanming Hao",10.1109/LCOMM.2024.3368532,https://doi.org/10.1109/LCOMM.2024.3368532,IEEE Communications Letters,12,2024,-
Hybrid RIS-assisted ISAC system for Enhanced V2V networks,"Wei Ma, Wenting Wu, Lei Huang, Wanjie Song, Wanchun Zhang, Tao Yuan, Peichan Zhang, Yang Lian",10.1145/3712335.3712432,https://doi.org/10.1145/3712335.3712432,"Proceedings of the 3rd International Conference on Signal Processing, Computer Networks and Communications",0,2024,-
Deep Reinforcement Learning-Based Secrecy Rate Optimization for Simultaneously Transmitting and Reflecting Reconfigurable Intelligent Surface-Assisted Unmanned Aerial Vehicle-Integrated Sensing and Communication Systems,"Jianwei Wang, Shuo Chen",10.3390/s25051541,https://doi.org/10.3390/s25051541,Italian National Conference on Sensors,0,2025,-
CAP-Net: A Deep Learning-Based Angle Prediction Approach for ISAC-Enabled RIS-Assisted V2I Communications,"Ruixiang Wang, Fanghao Xia, Jingxuan Huang, Xinyi Wang, Zesong Fei",10.1109/ICCT56141.2022.10072562,https://doi.org/10.1109/ICCT56141.2022.10072562,International Conference on Speech Technology and Human-Computer Dialogue,7,2022,-
"Rate-Splitting Multiple Access for 6G—Part I: Principles, Applications and Future Works","Anup Mishra, Yijie Mao, Onur Dizdar, B. Clerckx",10.1109/LCOMM.2022.3192012,https://doi.org/10.1109/LCOMM.2022.3192012,IEEE Communications Letters,79,2022,-
Simultaneous Beam Training and Target Sensing in ISAC Systems With RIS,"Kangjian Chen, Chenhao Qi, O. Dobre, Geoffrey Y. Li",10.1109/TWC.2023.3302319,https://doi.org/10.1109/TWC.2023.3302319,IEEE Transactions on Wireless Communications,21,2023,-
Joint Localization and Information Transfer for RIS Aided Full-Duplex Systems,"Z. Shao, Xiaojun Yuan, W. Zhang, M. Di Renzo",10.1109/GLOBECOM48099.2022.10001508,https://doi.org/10.1109/GLOBECOM48099.2022.10001508,Global Communications Conference,6,2022,-
P²C²M: Parallel Product Complex Circle Manifold for RIS-Aided ISAC Waveform Design,"Kai Zhong, Jinfeng Hu, Jun Liu, Dong-Chun An, Cunhua Pan, K. C. Teh, Xianxiang Yu, Huiyong Li",10.1109/TCCN.2024.3375501,https://doi.org/10.1109/TCCN.2024.3375501,IEEE Transactions on Cognitive Communications and Networking,18,2024,-
Distributed Reconfigurable Intelligent Surfaces for Energy-Efficient Indoor Terahertz Wireless Communications,"Yiming Huo, Xiaodai Dong, Nuwan S. Ferdinand",10.1109/JIOT.2022.3214471,https://doi.org/10.1109/JIOT.2022.3214471,IEEE Internet of Things Journal,27,2022,-
RIS Beam Calibration for ISAC Systems: Modeling and Performance Analysis,"Mengting Li, Hui Chen, Sigurd S. Petersen, Huiping Huang, Alireza Pourafzal, Yu Ge, Ming Shen, Henk Wymeersch",-,-,-,0,2025,-
Reconfigurable Intelligent Surface Assisted Mobile Target Tracking With Agile Phase Control,"Mengqi Bian, Yunmei Shi, Xin-Lin Huang",10.1109/TVT.2023.3337793,https://doi.org/10.1109/TVT.2023.3337793,IEEE Transactions on Vehicular Technology,2,2024,-
Secure Enhancement for RIS-Aided UAV with ISAC: Robust Design and Resource Allocation,"Yue Xiu, Wanting Lyu, Phee Lep Yeoh, Yonghui Li, Yi Ai, Ning Wei",-,-,-,4,2024,-
Beamforming Optimization for STAR-RIS-Assisted Integrated Sensing and Communication,"Fangce Zhao, Zhenglun Pan, Xiyue Xia, M. Yuan, Dongxuan He, Huazhou Hou",10.1109/IWCMC65282.2025.11059504,https://doi.org/10.1109/IWCMC65282.2025.11059504,International Conference on Wireless Communications and Mobile Computing,0,2025,-
Destructive and constructive RIS beamforming in an ISAC-multi-user MIMO network,"Steven Rivetti, Ozlem Tuugfe Demir, Emil Björnson, Mikael Skoglund",10.48550/arXiv.2404.11314,https://doi.org/10.48550/arXiv.2404.11314,arXiv.org,1,2024,-
Dual-Functional MIMO Beamforming Optimization for RIS-Aided Integrated Sensing and Communication,"Xin Zhao, Heng Liu, Shiqi Gong, X. Ju, C. Xing, Nan Zhao",10.1109/TCOMM.2024.3384932,https://doi.org/10.1109/TCOMM.2024.3384932,IEEE Transactions on Communications,9,2023,-
SensorNets: Towards Reconfigurable Multifunctional Fine-grained Soft and Stretchable Electronic Skins,"Irmandy Wicaksono, Elena Kodama, A. Dementyev, J. Paradiso",10.1145/3334480.3382866,https://doi.org/10.1145/3334480.3382866,CHI Extended Abstracts,9,2020,-
