study_cluster_id,primary_report_id,primary_screening_record_id,title,year,venue,canonical_modality,validation_maturity_max,survey_use_status,eligible_report_count,eligible_report_lineage,independent_human_status
STC-SINGLETON-SCR-00974,RPT-SCR-00974-01,SCR-00974,Bit Inversion Probabilistic Shaping Enabling Performance Tradeoff in Photonics-Aided Millimeter-Wave OFDM Integrated Sensing and Communication Systems,2026,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,5,survey_ready,1,RPT-SCR-00974-01 (SCR-00974; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00975,RPT-SCR-00975-01,SCR-00975,Radar-Centric Photonic Terahertz Integrated Sensing and Communication System Based on LFM-PSK Waveform,2023,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,5,survey_ready,1,RPT-SCR-00975-01 (SCR-00975; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00977,RPT-SCR-00977-01,SCR-00977,Photonics Terahertz Dual-Band Anti-Jamming Integrated Sensing and Communication System Empowered by Permutation Frequency Hopping,2026,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-00977-01 (SCR-00977; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00979,RPT-SCR-00979-01,SCR-00979,Demonstration of Integrated Sensing and Communications in an ARoF-Based Radar System Utilizing Pulse Position Modulation,2026,IEEE Access,photonic_THz,6,survey_ready,1,RPT-SCR-00979-01 (SCR-00979; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00980,RPT-SCR-00980-01,SCR-00980,Interference Cancellation for Optical Wireless ISAC Based on Optical Phased Array,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,FSO,2,survey_ready,1,RPT-SCR-00980-01 (SCR-00980; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00983,RPT-SCR-00983-01,SCR-00983,A Spectrum-Efficient MoF Architecture for Joint Sensing and Communication in B5G Based on Polarization Interleaving and Polarization-Insensitive Filtering,2022,Journal of Lightwave Technology,fiber,4,survey_ready,1,RPT-SCR-00983-01 (SCR-00983; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00985,RPT-SCR-00985-01,SCR-00985,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,2024,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,4,survey_ready,1,RPT-SCR-00985-01 (SCR-00985; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00986,RPT-SCR-00986-01,SCR-00986,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,2025,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,4,survey_ready_with_claim_restrictions,1,RPT-SCR-00986-01 (SCR-00986; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00990,RPT-SCR-00990-01,SCR-00990,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,2024,Journal of Lightwave Technology,photonic_THz,5,survey_ready,1,RPT-SCR-00990-01 (SCR-00990; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00992,RPT-SCR-00992-01,SCR-00992,Photonic Frequency-Hopped THz ISAC-Enabled by Electro-Optically Tunable Laser,2026,IEEE Photonics Technology Letters,photonic_THz,5,survey_ready,1,RPT-SCR-00992-01 (SCR-00992; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00994,RPT-SCR-00994-01,SCR-00994,A Cross-Correlation MUSIC Scheme Based on OFDM for Photonics-Aided W-Band ISAC Systems,2026,IEEE Photonics Technology Letters,photonic_THz,4,survey_ready,1,RPT-SCR-00994-01 (SCR-00994; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00996,RPT-SCR-00996-01,SCR-00996,Microwave Photonic Integrated Sensing and Communication Based on Polarization Multiplexing and Frequency-to-Time Mapping,2025,IEEE Internet of Things Journal,photonic_THz,4,survey_ready,1,RPT-SCR-00996-01 (SCR-00996; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00998,RPT-SCR-00998-01,SCR-00998,An Orthogonal Time Frequency Space Waveform With W-MUSIC Scheme for Photonic-Aided ISAC System,2026,IEEE Photonics Technology Letters,photonic_THz,4,survey_ready,1,RPT-SCR-00998-01 (SCR-00998; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01000,RPT-SCR-01000-01,SCR-01000,Simultaneous Full-Photonic Dechirping and Demodulation THz-ISAC System Based on Thin-Film Lithium Niobate Modulator,2026,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-01000-01 (SCR-01000; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01001,RPT-SCR-01001-01,SCR-01001,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,2025,IEEE Wireless Communications Letters,VLC_LiFi,3,survey_ready,1,RPT-SCR-01001-01 (SCR-01001; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01004,RPT-SCR-01004-01,SCR-01004,Sliding Window-Based LSTM Scheme for PAM-4 Photonics-Assisted W-Band ISAC Systems,2026,IEEE Photonics Technology Letters,photonic_THz,4,survey_ready_with_claim_restrictions,1,RPT-SCR-01004-01 (SCR-01004; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01006,RPT-SCR-01006-01,SCR-01006,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,2024,IEEE Internet of Things Journal,fiber,6,survey_ready_with_claim_restrictions,1,RPT-SCR-01006-01 (SCR-01006; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01008,RPT-SCR-01008-01,SCR-01008,Submarine integrated sensing and communication cable networks enable high-precision earthquake location estimation through linear wavefront theory,2026,Journal of Optical Communications and Networking,fiber,6,survey_ready,1,RPT-SCR-01008-01 (SCR-01008; primary_source; standalone_primary_report),not_documented
