paper_id,n_scenarios,n_rate,n_drmin,n_drmin_eligible,n_dz,n_dz_eligible,n_sigma_r,n_crb,n_osnr,n_snr,n_plane_mixed,n_imdd_osnr_conflict,n_snr_ambiguous,n_dz_drmin_alias,n_governance_blocked,n_crq_candidate,n_crq_eligible
O_ISAC_162,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_163,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
O_ISAC_164,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_165,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_166,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_167,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_171,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0
O_ISAC_172,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_173,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_185,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_186,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_187,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_188,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
O_ISAC_189,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_190,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
O_ISAC_195,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_199,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_200,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
O_ISAC_202,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_203,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_206,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_218,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_219,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
O_ISAC_220,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0
O_ISAC_237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_241,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_242,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_248,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
O_ISAC_252,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O_ISAC_259,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_272,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_276,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_280,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_283,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_286,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_288,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_291,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_300,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0
O_ISAC_301,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_303,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_304,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_310,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0
O_ISAC_324,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_327,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_347,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O_ISAC_348,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_349,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_350,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
O_ISAC_351,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_354,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_356,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
O_ISAC_360,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_368,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_371,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_377,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_379,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_381,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_386,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_388,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
