track_id,phase2_source,doi,publication_year,category,present_in_final_corpus,present_in_retrieved_docs,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,provisional_reconstruction_status,notes
O_ISAC_166,phase2_extraction_queue,10.1016/j.nanoen.2025.111639,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_167,phase2_extraction_queue,10.1016/j.optlaseng.2025.109470,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_171,phase2_extraction_queue,10.1038/s41467-025-62854-z,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_172,phase2_extraction_queue,10.1016/j.optlastec.2025.113726,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_173,phase2_extraction_queue,10.1145/3680207.3765690,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_185,phase2_extraction_queue,10.1364/PRJ.561888,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_186,phase2_extraction_queue,10.1007/s11432-024-4369-2,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_187,phase2_extraction_queue,10.1364/OE.564416,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_188,phase2_extraction_queue,10.1364/OE.563557,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_189,phase2_extraction_queue,10.1364/PRJ.553098,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_190,phase2_extraction_queue,10.1364/OE.565431,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_195,phase2_extraction_queue,10.1364/OE.555053,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_199,phase2_extraction_queue,10.1016/j.jestch.2025.101958,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_200,phase2_extraction_queue,10.1016/j.yofte.2024.104047,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_202,phase2_extraction_queue,10.3788/COL202523.020602,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_203,phase2_extraction_queue,10.1002/adfm.202412813,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_206,phase2_extraction_queue,10.1109/TWC.2025.3545372,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_218,phase2_extraction_queue,10.1109/JLT.2025.3642277,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_219,phase2_extraction_queue,10.1109/JLT.2025.3642513,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_220,phase2_extraction_queue,10.1364/PRJ.563034,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_237,phase2_extraction_queue,10.1109/TVT.2025.3619057,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_241,phase2_extraction_queue,10.1109/JLT.2025.3613544,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_242,phase2_extraction_queue,10.1109/LPT.2025.3614902,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_245,phase2_extraction_queue,10.1109/ICMLCN64995.2025.11140099,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_248,phase2_extraction_queue,10.1109/ICTON67126.2025.11125376,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_252,phase2_extraction_queue,10.23919/OECC/PSC62146.2025.11110813,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_259,phase2_extraction_queue,10.1109/JIOT.2025.3599171,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_272,phase2_extraction_queue,10.1109/LWC.2025.3583732,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_276,phase2_extraction_queue,10.1109/JLT.2025.3563162,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_280,phase2_extraction_queue,10.1364/OE.533917,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_283,phase2_extraction_queue,10.1364/OE.541229,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_286,phase2_extraction_queue,10.1364/OE.525854,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_288,phase2_extraction_queue,10.3390/photonics11090861,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_291,phase2_extraction_queue,10.1145/3672202.3673726,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_300,phase2_extraction_queue,10.1109/JLT.2023.3344788,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_301,phase2_extraction_queue,10.3788/COL202422.043901,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_303,phase2_extraction_queue,10.1016/j.dsp.2023.104340,,,yes,yes,yes,no,included_final_corpus,
O_ISAC_304,phase2_extraction_queue,10.1016/j.optcom.2023.130091,,,yes,yes,yes,no,included_final_corpus,
