track_id,phase2_source,doi,publication_year,category,present_in_final_corpus,present_in_retrieved_docs,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,provisional_reconstruction_status,notes
O_ISAC_086,phase2_extraction_dataset,10.1109/JSTQE.2023.3276903,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_087,phase2_extraction_dataset,10.1109/JPHOT.2024.3381232,2024,FIBER,no,no,no,yes,assessed_not_in_final_corpus,assessed_candidate_not_in_final_corpus_or_pdf_set
O_ISAC_088,phase2_extraction_dataset,10.1109/ECOC66593.2025.11263441,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_089,phase2_extraction_dataset,10.1109/MCOM.002.2300024,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_090,phase2_extraction_dataset,10.1109/JLT.2025.3593142,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_091,phase2_extraction_dataset,10.1109/ICC52391.2025.11160979,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_092,phase2_extraction_dataset,10.1109/JIOT.2024.3373447,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_093,phase2_extraction_dataset,10.1109/MIOT.2025.3575888,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_094,phase2_extraction_dataset,10.1109/ICCWorkshops67674.2025.11162428,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_095,phase2_extraction_dataset,10.1109/JLT.2022.3181608,2022,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_096,phase2_extraction_dataset,10.1109/TMBMC.2024.3434545,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_097,phase2_extraction_dataset,10.1109/JIOT.2025.3542099,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_098,phase2_extraction_dataset,10.1109/TWC.2024.3484569,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_099,phase2_extraction_dataset,10.1109/LPT.2025.3541038,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_100,phase2_extraction_dataset,10.1109/TWC.2025.3557061,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_101,phase2_extraction_dataset,10.1109/ICTON67126.2025.11125334,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_102,phase2_extraction_dataset,10.1109/JIOT.2025.3626345,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_103,phase2_extraction_dataset,10.1109/ECOC66593.2025.11262977,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_104,phase2_extraction_dataset,10.1109/SUM65312.2025.11121744,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_105,phase2_extraction_dataset,10.1109/JLT.2024.3392282,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_106,phase2_extraction_dataset,10.1109/TENCON61640.2024.10902867,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_107,phase2_extraction_dataset,10.1109/JLT.2024.3415417,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_108,phase2_extraction_dataset,10.1109/ICCWorkshops59551.2024.10615407,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_109,phase2_extraction_dataset,10.1109/PIMRC56721.2023.10294057,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_110,phase2_extraction_dataset,10.1109/IPSN61024.2024.00053,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_111,phase2_extraction_dataset,,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_112,phase2_extraction_dataset,10.1109/TGCN.2025.3589348,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_113,phase2_extraction_dataset,10.1109/LPT.2025.3593343,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_114,phase2_extraction_dataset,10.1109/JSAC.2025.3608091,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_115,phase2_extraction_dataset,10.1109/PIMRC50174.2021.9569384,2021,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_116,phase2_extraction_dataset,10.1109/LPT.2025.3559423,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_117,phase2_extraction_dataset,10.1109/ICICN62625.2024.10761294,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_118,phase2_extraction_dataset,10.23919/ICMU65253.2025.11219159,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_119,phase2_extraction_dataset,10.1109/JLT.2023.3280388,2023,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_120,phase2_extraction_dataset,10.1109/JSSC.2023.3237462,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_121,phase2_extraction_dataset,,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_122,phase2_extraction_dataset,10.1109/ACP/IPOC63121.2024.10809945,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_123,phase2_extraction_dataset,10.23919/WiOpt58741.2023.10349823,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_124,phase2_extraction_dataset,10.1109/TVT.2025.3613718,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_125,phase2_extraction_dataset,10.1109/LAWP.2024.3436914,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_126,phase2_extraction_dataset,10.1109/ICCC65529.2025.11148844,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_127,phase2_extraction_dataset,10.1109/ACCESS.2025.3602057,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_128,phase2_extraction_dataset,,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_129,phase2_extraction_dataset,10.1109/VTC2024-Spring62846.2024.10683127,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_130,phase2_extraction_dataset,10.1109/TIM.2025.3595231,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_131,phase2_extraction_dataset,10.1109/ICCC62479.2024.10681813,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_132,phase2_extraction_dataset,10.1109/JLT.2023.3252821,2023,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_133,phase2_extraction_dataset,10.1109/TVT.2025.3640107,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_134,phase2_extraction_dataset,10.1109/OJCOMS.2025.3577193,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_135,phase2_extraction_dataset,10.1109/TGRS.2017.2769003,2018,WIRELESS,yes,yes,yes,no,included_final_corpus,
